id;address;lat;long;mon_fri;sat;sun
8383;6501 S SAINT LAWRENCE AVE CHICAGO, IL 60637;41.7765003;-87.6104935617641;12:00 pm;10:00 am;Closed
8384;6459 S COTTAGE GROVE AVE CHICAGO, IL 60637;41.777543418152;-87.605755846681;12:00 pm;10:00 am;Closed
8385;6400 S COTTAGE GROVE AVE CHICAGO, IL 60637;41.778469;-87.605997;12:00 pm;12:00 pm;Closed
8386;6301 S MARYLAND AVE CHICAGO, IL 60637;41.7798381001215;-87.6047448601376;12:00 pm;12:00 pm;Closed
8387;901 E 63RD ST CHICAGO, IL 60637;41.780369;-87.602516;12:00 pm;12:00 pm;Closed
8388;700 E 61ST ST CHICAGO, IL 60637;41.78446815;-87.6080440576464;5:00 pm;3:30 pm;Closed
8389;6869 S CHAMPLAIN AVE CHICAGO, IL 60637;41.770048217388;-87.6092299641662;12:00 pm;10:00 am;Closed
8390;700 E 61ST ST CHICAGO, IL 60637;41.78446815;-87.6080440576464;4:30 pm;12:30 pm;Closed
8391;759 E 61ST ST CHICAGO, IL 60637;41.7839690488938;-87.6063716274909;12:00 pm;10:00 am;Closed
8392;6659 S GREENWOOD AVE CHICAGO, IL 60637;41.7739690816932;-87.5995934665561;12:00 pm;12:00 pm;Closed
8393;6900 S KING DR CHICAGO, IL 60637;41.7136338;-87.6139518;12:00 pm;10:00 am;Closed
8394;727 E 60TH ST CHICAGO, IL 60637;41.78557305;-87.6074696966276;12:00 pm;10:00 am;Closed
8395;300 E 61ST ST CHICAGO, IL 60637;41.783912;-87.618784;12:00 pm;10:00 am;Closed
8396;100 E 63RD ST CHICAGO, IL 60637;41.780124;-87.621514;12:00 pm;10:00 am;Closed
8397;1205 E 63RD ST CHICAGO, IL 60637;41.7802705;-87.5958899398476;12:00 pm;12:00 pm;Closed
8398;971 E 60TH ST CHICAGO, IL 60637;41.7858367402586;-87.6019733790816;12:00 pm;12:00 pm;Closed
8399;1200 E 67TH ST CHICAGO, IL 60637;41.773319;-87.595877;12:00 pm;10:00 am;Closed
8400;559 E 71ST ST CHICAGO, IL 60619;41.7655898;-87.610882;10:00 am;12:00 pm;Closed
8401;5841 S MARYLAND AVE CHICAGO, IL 60637;41.78819255;-87.6044178205762;12:00 pm;12:00 pm;Closed
8402;100 E 61ST ST CHICAGO, IL 60637;41.783854;-87.62202;12:00 pm;10:00 am;Closed
8403;1111 E 60TH ST CHICAGO, IL 60637;41.7859006;-87.5988832;12:00 pm;12:00 pm;Closed
8404;358 E 71ST ST CHICAGO, IL 60619;41.76586995;-87.6161347440809;10:00 am;10:00 am;Closed
8405;1201 E 61ST ST CHICAGO, IL 60637;41.784086;-87.596122;12:00 pm;12:00 pm;Closed
8406;1155 E 60TH ST CHICAGO, IL 60637;41.78544505;-87.5969593025297;12:00 pm;12:00 pm;Closed
8407;5757 S DREXEL AVE CHICAGO, IL 60637;41.7911496655516;-87.6036270716023;12:00 pm;12:00 pm;Closed
8408;5801 S ELLIS AVE CHICAGO, IL 60637;41.7913505;-87.6008426943197;12:00 pm;12:00 pm;Closed
8409;1130 E 59TH ST CHICAGO, IL 60637;41.78794375;-87.5983229571881;12:00 pm;12:00 pm;Closed
8410;1130 E 59TH ST CHICAGO, IL 60637;41.78794375;-87.5983229571881;12:00 pm;12:00 pm;Closed
8411;1307 E 60TH ST CHICAGO, IL 60637;41.7856782;-87.593890999498;12:00 pm;12:00 pm;Closed
8412;7258 S SAINT LAWRENCE AVE CHICAGO, IL 60619;41.7629112766464;-87.6104711927936;10:00 am;10:00 am;Closed
8413;202 E 58TH ST CHICAGO, IL 60637;41.789634;-87.5947984;12:00 pm;10:00 am;Closed
